Series;Time;Value
Power;2015-06-06T19:55:55.000Z;0
Power;2015-06-06T19:56:00.000Z;0
Power;2015-06-06T19:56:05.000Z;0
Power;2015-06-06T19:56:10.000Z;0
Power;2015-06-06T19:56:15.000Z;0
Power;2015-06-06T19:56:20.000Z;0
Power;2015-06-06T19:56:25.000Z;0
Power;2015-06-06T19:56:30.000Z;0
Power;2015-06-06T19:56:35.000Z;0
Power;2015-06-06T19:56:40.000Z;-0.21749999999999997
Power;2015-06-06T19:56:45.000Z;-0.29
Power;2015-06-06T19:56:50.000Z;0
Power;2015-06-06T19:56:55.000Z;0
Power;2015-06-06T19:57:00.000Z;0
Power;2015-06-06T19:57:05.000Z;0
Power;2015-06-06T19:57:10.000Z;0
Power;2015-06-06T19:57:15.000Z;0
Power;2015-06-06T19:57:20.000Z;0
Power;2015-06-06T19:57:25.000Z;0
Power;2015-06-06T19:57:30.000Z;0
Power;2015-06-06T19:57:35.000Z;0
Power;2015-06-06T19:57:40.000Z;0
Power;2015-06-06T19:57:45.000Z;-0.29
Power;2015-06-06T19:57:50.000Z;-0.23199999999999998
Power;2015-06-06T19:57:55.000Z;0
Power;2015-06-06T19:58:00.000Z;0
Power;2015-06-06T19:58:05.000Z;0
Power;2015-06-06T19:58:10.000Z;0
Power;2015-06-06T19:58:15.000Z;0
Power;2015-06-06T19:58:20.000Z;0
Power;2015-06-06T19:58:25.000Z;0
Power;2015-06-06T19:58:30.000Z;0
Power;2015-06-06T19:58:35.000Z;0
Power;2015-06-06T19:58:40.000Z;0
Power;2015-06-06T19:58:45.000Z;-0.174
Power;2015-06-06T19:58:50.000Z;-0.29
Power;2015-06-06T19:58:55.000Z;0
Power;2015-06-06T19:59:00.000Z;0
Power;2015-06-06T19:59:05.000Z;0
Power;2015-06-06T19:59:10.000Z;0
Power;2015-06-06T19:59:15.000Z;0
Power;2015-06-06T19:59:20.000Z;0
Power;2015-06-06T19:59:25.000Z;0
Power;2015-06-06T19:59:30.000Z;0
Power;2015-06-06T19:59:35.000Z;0
Power;2015-06-06T19:59:40.000Z;-0.11599999999999999
Power;2015-06-06T19:59:45.000Z;-0.29
Power;2015-06-06T19:59:50.000Z;0.09000000000000001
Power;2015-06-06T19:59:55.000Z;0.8740000000000001
Power;2015-06-06T20:00:00.000Z;1.56
Power;2015-06-06T20:00:05.000Z;1.7333333333333334
Power;2015-06-06T20:00:10.000Z;4.93
Power;2015-06-06T20:00:15.000Z;10.645999999999999
Power;2015-06-06T20:00:20.000Z;10.914000000000001
Power;2015-06-06T20:00:25.000Z;10.742500000000001
Power;2015-06-06T20:00:30.000Z;10.809999999999999
Power;2015-06-06T20:00:35.000Z;10.54
Power;2015-06-06T20:00:40.000Z;10.700000000000001
Power;2015-06-06T20:00:45.000Z;11.862000000000002
Power;2015-06-06T20:00:50.000Z;12.52
Power;2015-06-06T20:00:55.000Z;12.39
Power;2015-06-06T20:01:00.000Z;12.39
Power;2015-06-06T20:01:05.000Z;25.9925
Power;2015-06-06T20:01:10.000Z;100.12400000000001
Power;2015-06-06T20:01:15.000Z;124.368
Power;2015-06-06T20:01:20.000Z;131.695
Power;2015-06-06T20:01:25.000Z;139.896
Power;2015-06-06T20:01:30.000Z;144.7675
Power;2015-06-06T20:01:35.000Z;139.42000000000002
Power;2015-06-06T20:01:40.000Z;137.09599999999998
Power;2015-06-06T20:01:45.000Z;137.31
Power;2015-06-06T20:01:50.000Z;137.31
Power;2015-06-06T20:01:55.000Z;137.57
Power;2015-06-06T20:02:00.000Z;137.57
Power;2015-06-06T20:02:05.000Z;137.6375
Power;2015-06-06T20:02:10.000Z;137.57
Power;2015-06-06T20:02:15.000Z;137.414
Power;2015-06-06T20:02:20.000Z;137.31
Power;2015-06-06T20:02:25.000Z;137.31
Power;2015-06-06T20:02:30.000Z;137.31
Power;2015-06-06T20:02:35.000Z;137.14799999999997
Power;2015-06-06T20:02:40.000Z;137.202
Power;2015-06-06T20:02:45.000Z;137.44
Power;2015-06-06T20:02:50.000Z;137.04
Power;2015-06-06T20:02:55.000Z;137.1075
Power;2015-06-06T20:03:00.000Z;137.04
